Executing fixed runner now.
Test being executed: org.apache.ambari.annotations.TransactionalLockTest.testLockAreaEnabled
Test being executed: org.apache.ambari.annotations.TransactionalLockTest.testLockAreaEnabledDisabled
Test being executed: org.apache.ambari.annotations.TransactionalLockTest.testAnnotationEquality
Test being executed: org.apache.ambari.annotations.LockAreaTest.testTransactionalLockInstantiation
Test being executed: org.apache.ambari.annotations.TransactionalLockInterceptorTest.testTransactionalLockInvocation
Test being executed: org.apache.ambari.annotations.TransactionalLockInterceptorTest.testMultipleLocks
Test being executed: org.apache.ambari.annotations.TransactionalLockInterceptorTest.testNestedMultipleLocks
Test being executed: org.apache.ambari.annotations.TransactionalLockInterceptorTest.testNestedTransactional
Test being executed: org.apache.ambari.annotations.TransactionalLockInterceptorTest$TestObject.testLockMethodAsChildOfActiveTransaction
Test being executed: org.apache.ambari.annotations.TransactionalLockInterceptorTest$TestObject.testMultipleNestedLocks
Test being executed: org.apache.ambari.annotations.TransactionalLockInterceptorTest$TestObject.testMultipleLocks
Test being executed: org.apache.ambari.server.cleanup.CleanupServiceFunctionalTest.testServicesShouldBeInSingletonScope
Test being executed: org.apache.ambari.server.cleanup.CleanupServiceFunctionalTest.testIOCContext
Test being executed: org.apache.ambari.server.cleanup.CleanupServiceFunctionalTest.testRunCleanup
Test being executed: org.apache.ambari.server.cleanup.CleanupServiceImplTest.testShouldDaosBeCalledWithTheCleanupPolicy
Test being executed: org.apache.ambari.server.cleanup.CleanupServiceImplTest.testAffectedRowsNoError
Test being executed: org.apache.ambari.server.cleanup.CleanupServiceImplTest.testAffectedRowsWithErrors
Test being executed: org.apache.ambari.server.proxy.ProxyServiceTest.testProxyPostRequest
Test being executed: org.apache.ambari.server.proxy.ProxyServiceTest.testProxyPutRequest
Test being executed: org.apache.ambari.server.proxy.ProxyServiceTest.testProxyDeleteRequest
Test being executed: org.apache.ambari.server.proxy.ProxyServiceTest.testResponseWithError
Test being executed: org.apache.ambari.server.proxy.ProxyServiceTest.testProxyWithJSONResponse
Test being executed: org.apache.ambari.server.proxy.ProxyServiceTest.testEscapedURL
Test being executed: org.apache.ambari.server.proxy.ProxyServiceTest.testProxyGetRequest
Test being executed: org.apache.ambari.server.proxy.ProxyServiceTest.testService
Test being executed: org.apache.ambari.server.customactions.ActionDefinitionManagerTest.testReadCustomActionDefinitions
Test being executed: org.apache.ambari.server.customactions.ActionDefinitionManagerTest.testReadInvalidCustomActionDefinitions
Test being executed: org.apache.ambari.server.bootstrap.BootStrapTest.testRun
Test being executed: org.apache.ambari.server.bootstrap.BootStrapTest.testHostFailure
Test being executed: org.apache.ambari.server.bootstrap.BootStrapTest.testPolling
Test being executed: org.apache.ambari.server.bootstrap.BootStrapResourceTest.bootStrapGet
Test being executed: org.apache.ambari.server.bootstrap.BootStrapResourceTest.bootStrapPost
Test being executed: org.apache.ambari.server.serveraction.ServerActionExecutorTest.testServerActionManualStage
Test being executed: org.apache.ambari.server.serveraction.ServerActionExecutorTest.testServerActionFailedException
Test being executed: org.apache.ambari.server.serveraction.ServerActionExecutorTest.testServerActionTimeout
Test being executed: org.apache.ambari.server.serveraction.ServerActionExecutorTest.testServerAction
