# formal name of subject, informal name of subject, directory containing src, directory containing test, directory containing bin or classes, first revision, second revision, directory containing src of new version, directory containing test of new version
Ambari-Server,ambari-server,ambari/ambari-server/src/main/,ambari/ambari-server/src/test/,ambari/ambari-server/target/,96aaf1d,f4a3dbc,ambari-new/ambari-server/src/main/,ambari-new/ambari-server/src/test/
Crystal,crystal,crystalvc/src/,crystalvc/tests/crystal/,crystalvc/,version 1.0.20111015,trunk-2013-12-12,crystal/src/,crystal/tests/crystal/
JFreechart,jfreechart,jfreechart-1.0.15/src/,jfreechart-1.0.15/tests/org/,jfreechart-1.0.15/,version 1.0.15,version 1.0.16,jfreechart-1.0.16/src/,jfreechart-1.0.16/tests/org/
Joda-Time,jodatime,jodatime-b609d7d66d/src/,jodatime-b609d7d66d/tests/org/,jodatime-b609d7d66d/,b609d7d66d,d6791cb5f9,jodatime-d6791cb5f9/src/,jodatime-d6791cb5f9/tests/java/org/
Synoptic,synoptic,dynoptic/src/,dynoptic/tests/dynoptic/|dynoptic/tests/mcscm/,dynoptic/,d5ea6fb3157e,ea407ba0a750,dynoptic-ea407ba0a750/src/,dynoptic-ea407ba0a750/tests/dynoptic/|dynoptic-ea407ba0a750/tests/mcscm/
XML Security,xml_security,xml-security-orig-v1/src/,xml-security-orig-v1/tests/org/,xml-security-orig-v1/,version 1.0.4,version 1.2.0,xml-security-1_2_0/src/,xml-security-1_2_0/tests/org/
Zeppelin-Server,zeppelin-server,zeppelin/zeppelin-server/src/main/,zeppelin/zeppelin-server/src/test/,zeppelin/zeppelin-server/target/,09e8f7f,c3b7087,zeppelin-new/zeppelin-server/src/main/,zeppelin-new/zeppelin-server/src/test/
Zeppelin-Zengine,zeppelin-zeppelin-zengine,zeppelin-old-0f81b6d6132471ddf0e91cc3738da1ff365604f8/zeppelin-zengine/src/main/,zeppelin-old-0f81b6d6132471ddf0e91cc3738da1ff365604f8/zeppelin-zengine/src/test/,zeppelin-old-0f81b6d6132471ddf0e91cc3738da1ff365604f8/zeppelin-zengine/target/,0f81b6d6132471ddf0e91cc3738da1ff365604f8,6353732095af880944b8c09eacc3ab7eaf64e7e0,zeppelin-new-6353732095af880944b8c09eacc3ab7eaf64e7e0/zeppelin-zengine/src/main/,zeppelin-new-6353732095af880944b8c09eacc3ab7eaf64e7e0/zeppelin-zengine/src/test/
Photoplatform_Angular_Spring,Photoplatform_Angular_Spring,Photoplatform_Angular_Spring-old-83d49399648b81fbc134fd4d329d575907ffc788/src/main/,Photoplatform_Angular_Spring-old-83d49399648b81fbc134fd4d329d575907ffc788/src/test/,Photoplatform_Angular_Spring-old-83d49399648b81fbc134fd4d329d575907ffc788/target/,83d49399648b81fbc134fd4d329d575907ffc788,3a7d9e76d9b741895c9b4c2cbaccbf6f5edf541f,Photoplatform_Angular_Spring-new-3a7d9e76d9b741895c9b4c2cbaccbf6f5edf541f/src/main/,Photoplatform_Angular_Spring-new-3a7d9e76d9b741895c9b4c2cbaccbf6f5edf541f/src/test/
accumulo-accumulo-master,accumulo-accumulo-master,accumulo-old-daeffd8d9cf980814fb7d131a0d89cbdfd856298/server/master/src/main/,accumulo-old-daeffd8d9cf980814fb7d131a0d89cbdfd856298/server/master/src/test/,accumulo-old-daeffd8d9cf980814fb7d131a0d89cbdfd856298/server/master/target/,daeffd8d9cf980814fb7d131a0d89cbdfd856298,a770d44b57027fcee5b25dc2fa9778959e7807c7,accumulo-new-a770d44b57027fcee5b25dc2fa9778959e7807c7/server/master/src/main/,accumulo-new-a770d44b57027fcee5b25dc2fa9778959e7807c7/server/master/src/test/
dubbo-dubbo-config-spring,dubbo-dubbo-config-spring,dubbo-old-0467e151b45588f907557f2656782898b7443544/dubbo-config/dubbo-config-spring/src/main/,dubbo-old-0467e151b45588f907557f2656782898b7443544/dubbo-config/dubbo-config-spring/src/test/,dubbo-old-0467e151b45588f907557f2656782898b7443544/dubbo-config/dubbo-config-spring/target/,0467e151b45588f907557f2656782898b7443544,7322f3ead103c4acbe2123404add364745a0a054,dubbo-new-7322f3ead103c4acbe2123404add364745a0a054/dubbo-config/dubbo-config-spring/src/main/,dubbo-new-7322f3ead103c4acbe2123404add364745a0a054/dubbo-config/dubbo-config-spring/src/test/
