Executing fixed runner now.
Test being executed: RegressionTest0.test003
Test being executed: RegressionTest0.test004
Test being executed: RegressionTest0.test005
Test being executed: RegressionTest0.test001
Test being executed: RegressionTest0.test002
Test being executed: RegressionTest0.test006
Test being executed: RegressionTest0.test007
Test being executed: RegressionTest0.test008
Test being executed: RegressionTest0.test009
Test being executed: RegressionTest0.test010
Test being executed: RegressionTest0.test011
Test being executed: RegressionTest0.test012
Test being executed: RegressionTest0.test013
Test being executed: RegressionTest0.test014
Test being executed: RegressionTest0.test015
Test being executed: RegressionTest0.test016
Test being executed: RegressionTest0.test017
Test being executed: RegressionTest0.test018
Test being executed: RegressionTest0.test019
Test being executed: RegressionTest0.test020
Test being executed: RegressionTest0.test021
Test being executed: RegressionTest0.test022
Test being executed: RegressionTest0.test023
Test being executed: RegressionTest0.test024
Test being executed: RegressionTest0.test025
Test being executed: RegressionTest0.test026
Test being executed: RegressionTest0.test027
Test being executed: RegressionTest0.test028
Test being executed: RegressionTest0.test029
Test being executed: RegressionTest0.test030
Test being executed: RegressionTest0.test031
Test being executed: RegressionTest0.test032
Test being executed: RegressionTest0.test033
Test being executed: RegressionTest0.test034
Test being executed: RegressionTest0.test035
Test being executed: RegressionTest0.test036
Test being executed: RegressionTest0.test037
Test being executed: RegressionTest0.test038
Test being executed: RegressionTest0.test039
Test being executed: RegressionTest0.test040
Test being executed: RegressionTest0.test041
Test being executed: RegressionTest0.test042
Test being executed: RegressionTest0.test043
Test being executed: RegressionTest0.test044
Test being executed: RegressionTest0.test045
Test being executed: RegressionTest0.test046
Test being executed: RegressionTest0.test047
Test being executed: RegressionTest0.test048
Test being executed: RegressionTest0.test049
Test being executed: RegressionTest0.test050
Test being executed: RegressionTest0.test051
Test being executed: RegressionTest0.test052
Test being executed: RegressionTest0.test053
Test being executed: RegressionTest0.test054
Test being executed: RegressionTest0.test055
Test being executed: RegressionTest0.test056
Test being executed: RegressionTest0.test057
Test being executed: RegressionTest0.test058
Test being executed: RegressionTest0.test059
Test being executed: RegressionTest0.test060
Test being executed: RegressionTest0.test061
Test being executed: RegressionTest0.test062
Test being executed: RegressionTest0.test063
Test being executed: RegressionTest0.test064
Test being executed: RegressionTest0.test065
Test being executed: RegressionTest0.test066
Test being executed: RegressionTest0.test067
Test being executed: RegressionTest0.test068
Test being executed: RegressionTest0.test069
Test being executed: RegressionTest0.test070
Test being executed: RegressionTest0.test071
Test being executed: RegressionTest0.test072
Test being executed: RegressionTest0.test073
Test being executed: RegressionTest0.test074
Test being executed: RegressionTest0.test075
Test being executed: RegressionTest0.test076
Test being executed: RegressionTest0.test077
Test being executed: RegressionTest0.test078
Test being executed: RegressionTest0.test079
Test being executed: RegressionTest0.test080
Test being executed: RegressionTest0.test081
Test being executed: RegressionTest0.test082
Test being executed: RegressionTest0.test083
Test being executed: RegressionTest0.test084
Test being executed: RegressionTest0.test085
Test being executed: RegressionTest0.test086
Test being executed: RegressionTest0.test087
Test being executed: RegressionTest0.test088
Test being executed: RegressionTest0.test089
Test being executed: RegressionTest0.test090
Test being executed: RegressionTest0.test091
Test being executed: RegressionTest0.test092
Test being executed: RegressionTest0.test093
Test being executed: RegressionTest0.test094
Test being executed: RegressionTest0.test095
Test being executed: RegressionTest0.test096
Test being executed: RegressionTest0.test097
Test being executed: RegressionTest0.test098
Test being executed: RegressionTest0.test099
Test being executed: RegressionTest0.test100
Test being executed: RegressionTest0.test101
Test being executed: RegressionTest0.test102
Test being executed: RegressionTest0.test103
Test being executed: RegressionTest0.test104
